Library,Cell type,Biological Replicate number,Protocol used,Restriction Enzyme,Crosslinking Conditions,Biotinylated base used,Ligation Volume,Included in Fig S8 APA histogram?,Total Sequenced Reads,Total Contacts
HIC091,CH12-LX,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"78,650,514","37,112,775"
HIC092,CH12-LX,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"58,710,214","37,756,143"
HIC093,CH12-LX,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"28,384,394","16,875,886"
HIC094,CH12-LX,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"149,636,233","56,894,390"
HIC095,CH12-LX,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"175,930,719","79,650,360"
HIC096,CH12-LX,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"169,313,244","73,226,585"
HIC097,CH12-LX,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"171,650,383","69,700,391"
HIC098,CH12-LX,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"175,627,364","79,884,809"
HIC099,CH12-LX,2,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"41,582,509","19,375,249"
HIC100,CH12-LX,2,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"27,238,265","12,118,881"
HIC101,CH12-LX,3,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"35,826,458","19,199,455"
HIC102,CH12-LX,3,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"45,971,604","23,598,410"
TOTAL CH12 mouse lymphoblast in situ,,,,,,,,,"1,382,845,375","635,098,144"
,,,,,,,,,,
CH12 mouse lymphoblast dilution Hi-C,,,,,,,,,,
HIC103,CH12-LX,4,dilution,HindIII,"1% FA, 10min, RT",bio-dCTP,8ml,n,"97,434,620","52,724,465"
HIC104,CH12-LX,1,dilution,HindIII,"1% FA, 10min, RT",bio-dCTP,8ml,n,"52,815,909","32,969,330"
,,,,,,,,,,
Other MiSeq experiments,,,,,,,,,,
HIC105,GM12878,12,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"3,195,810","2,399,700"
HIC106,GM12878,12,dilution,HindIII,"1% FA, 10min, RT",bio-dCTP,8ml,y,"5,075,339","2,934,553"
HIC107,GM12878,12,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"3,589,385","2,344,202"
HIC108,GM12878,15,dilution,"NcoI,MspI,BspHI","1% FA, 3min, RT",bio-dUTP,8ml,y,"2,605,998","1,817,744"
HIC109,GM12878,15,dilution,"NcoI,MspI,BspHI","1% FA, 5min, RT",bio-dUTP,8ml,y,"2,259,507","1,575,185"
HIC110,GM12878,16,dilution,NcoI,"1% FA, 1min, RT",bio-dCTP,8ml,y,"2,321,682","1,505,523"
HIC111,GM12878,16,dilution,NcoI,"1% FA, 2min, RT",bio-dCTP,8ml,y,"2,351,895","1,324,337"
HIC112,GM12878,16,dilution,NcoI,"1% FA, 7min, RT",bio-dCTP,8ml,y,"2,211,333","1,567,919"
HIC113,GM12878,17,dilution,NcoI,"1% FA, 1min, RT",bio-dCTP,8ml,y,"1,245,289","950,613"
HIC114,GM12878,17,dilution,NcoI,"1% FA, 3min, RT",bio-dCTP,8ml,y,"767,286","620,112"
HIC115,GM12878,17,dilution,NcoI,"1% FA, 5min, RT",bio-dCTP,8ml,y,"679,355","547,357"
HIC116,GM12878,17,dilution,NcoI,"1% FA, 7min, RT",bio-dCTP,8ml,y,"1,238,592","995,296"
HIC117,GM12878,17,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"1,116,886","860,701"
HIC118,GM12878,15,dilution,NcoI,"1% FA, 3min, RT",bio-dCTP,8ml,y,"869,919","731,851"
HIC119,GM12878,15,dilution,NcoI,"1% FA, 3min, RT",bio-dCTP,8ml,y,"1,366,341","1,158,886"
HIC120,GM12878,17,dilution,MspI,"1% FA, 3min, RT",bio-dCTP,8ml,y,"4,172,503","3,107,101"
HIC121,GM12878,18,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"1,288,385","975,209"
HIC122,GM12878 ,18,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"1,708,051","1,335,156"
HIC123,GM12878,1,in situ,NcoI,"1% FA, 10min, RT",bio-dCTP,1.2ml,y,"3,285,241","2,719,177"
HIC124,GM12878,1,in situ,NcoI,"1% FA, 10min, RT",bio-dCTP,1.2ml,y,"18,200,220","12,010,007"
HIC125,GM12878,1,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"2,804,969","2,320,285"
HIC126,GM12878,2,dilution,NcoI,"1% FA, 3min, RT",bio-dCTP,8ml,y,"1,888,800","1,440,207"
HIC127,GM12878,2,tethered in situ,NcoI,"1% FA, 3min, RT",bio-dCTP,5ml,y,"1,594,935","1,236,024"
HIC128,GM12878,1,in situ,NcoI,"1% FA, 10min, RT",bio-dCTP,1.2ml,y,"5,905,966","4,548,304"
HIC129,GM12878,1,in situ,NcoI,"1% FA, 10min, RT",bio-dCTP,1.2ml,y,"6,066,238","4,951,387"
HIC130,GM12878,19,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"1,619,251","1,147,889"
HIC131,GM12878,19,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"1,148,056","685,834"
HIC132,GM12878,19,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"1,593,535","983,346"
HIC133,GM12878,19,dilution,MspI,"1% FA, 3min, RT",bio-dCTP,8ml,y,"1,326,854","846,592"
HIC134,GM12878,1,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"722,722","505,268"
HIC135,GM12878,1,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"806,939","591,574"
HIC136,GM12878,1,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,y,"703,464","471,963"
HIC137,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,080,577","884,741"
HIC138,GM12878,1,tethered in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,673,444","1,402,306"
HIC139,GM12878,1,tethered in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,332,120","1,116,105"
HIC140,GM12878,20,tethered in situ,MboI,"1% FA, 1min, RT",bio-dATP,1ml,y,"2,632,028","1,867,188"
HIC141,GM12878,20,tethered in situ,MboI,"1% FA, 3min, RT",bio-dATP,1ml,y,"2,244,686","1,785,892"
HIC142,GM12878,20,tethered in situ,MboI,"1% FA, 5min, RT",bio-dATP,1ml,y,"2,656,579","1,904,340"
HIC143,GM12878,20,tethered in situ,MboI,"1% FA, 10min, RT",bio-dATP,1ml,y,"2,360,870","1,705,818"
HIC144,GM12878,20,tethered in situ,MboI,"1% FA, 1min, RT",bio-dATP,5ml,y,"2,169,031","1,426,840"
HIC145,GM12878,20,tethered in situ,MboI,"1% FA, 3min, RT",bio-dATP,5ml,y,"2,494,774","1,996,658"
HIC146,GM12878,20,tethered in situ,MboI,"1% FA, 5min, RT",bio-dATP,5ml,y,"2,863,402","2,108,612"
HIC147,GM12878,20,tethered in situ,MboI,"1% FA, 7min, RT",bio-dATP,5ml,y,"2,829,838","1,796,892"
HIC148,GM12878,20,tethered in situ,MboI,"1% FA, 10min, RT",bio-dATP,5ml,y,"2,836,644","2,166,757"
HIC149,GM12878,1,in situ,NcoI,"1% FA, 10min, RT",bio-dCTP,1ml,y,"2,625,734","1,722,558"
HIC150,GM12878,21,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"2,553,534","1,966,794"
HIC151,GM12878,21,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"2,316,631","1,839,222"
HIC152,GM12878,21,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"2,303,886","1,806,327"
HIC153,GM12878,1,tethered in situ,MboI,"1% FA, 10min, RT",bio-dCTP,1.2ml,y,"4,417,222","3,724,813"
HIC154,GM12878,21,in situ,MboI,"1% FA, 3min, RT",bio-dATP,1.2ml,y,"1,471,605","1,183,616"
HIC155,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"2,880,456","2,359,036"
HIC156,GM12878,22,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"2,477,502","1,985,701"
HIC157,GM12878,3,in situ,MboI,"1% FA, 10min, RT",bio-dCTP,1.2ml,y,"2,239,736","1,804,680"
HIC158,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,335,875","1,109,786"
HIC159,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,791,043","1,491,997"
HIC160,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,710,696","1,435,142"
HIC161,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"941,023","770,461"
HIC162,GM12878,4,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"453,485","347,449"
HIC163,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"540,132","451,755"
HIC164,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,719,561","1,452,469"
HIC165,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"463,849","384,021"
HIC166,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"2,661,488","1,889,567"
HIC167,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"4,033,142","2,714,626"
HIC168,GM12878,23,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"606,043","424,958"
HIC169,GM12878,3,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"2,111,846","1,578,518"
HIC170,GM12878,3,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,709,379","1,229,486"
HIC171,GM12878,3,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,700,909","1,292,204"
HIC172,GM12878,24,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"956,156","700,009"
HIC173,GM12878,24,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"621,022","449,026"
HIC174,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"662,659","535,951"
HIC175,GM12878,5,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,661,463","1,205,907"
HIC176,GM12878,5,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"625,856","449,189"
HIC177,GM12878,5,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"908,115","639,370"
HIC178,GM12878,25,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,921,446","1,388,332"
HIC179,GM12878,25,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"992,526","727,915"
HIC180,GM12878,7,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,315,102","1,070,303"
HIC181,GM12878,8,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"2,870,787","2,312,157"
HIC182,GM12878,26,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,198,274","968,333"
HIC183,GM12878,8,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,560,926","1,145,318"
HIC184,GM12878,27,in situ,HindIII,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"874,727","546,561"
HIC185,GM12878,28,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,196,135","942,203"
HIC186,GM12878,28,in situ,MboI,"1% FA, 10min, RT",bio-dUTP (Tri-Link),1.2ml,y,"617,683","441,585"
HIC187,GM12878,8,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,062,385","832,515"
HIC188,GM12878,8,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"735,330","571,032"
HIC189,GM12878,29,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"782,632","626,475"
HIC190,GM12878,29,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,311,572","1,059,800"
HIC191,GM12878,30,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,815,819","1,454,054"
HIC192,GM12878,30,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,479,535","1,166,318"
HIC193,GM12878,30,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,201,410","948,746"
HIC194,GM12878,31,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,712,283","1,337,075"
HIC195,GM12878,32,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,254,838","976,951"
HIC196,GM12878,32,in situ (3 day Hi-C),MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,178,753","917,954"
HIC048,GM12878,13,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"687,350","570,428"
HIC197,GM12878,33,in situ,DpnII,"1% FA, 10min, 37C",bio-dATP,1.2ml,y,"1,523,760","1,170,947"
HIC198,GM12878,33,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"422,191","345,152"
HIC199,GM12878,33,in situ,DpnII,"1% FA, 10min, 37C",bio-dATP,1.2ml,y,"693,680","497,650"
HIC041,GM12878,32,in situ,DpnII,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"654,578","531,923"
HIC200,GM12878,33,in situ,DpnII,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"750,627","573,333"
HIC201,GM12878,33,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"929,394","758,760"
HIC042,GM12878,33,in situ,DpnII,"1% FA, 10min, RT",bio-dATP,1.2ml,y,"1,130,277","895,182"
TOTAL MiSeq,,,,,,,,,"195,278,807","145,093,091"
,,,,,,,,,,
GRAND TOTAL,,,,,,,,,"25,202,711,604","15,911,874,568"
